门店编码,门店名称,市场,品牌,城市,大区,区域,大店,优先级
C73100247,协信星光PARK店,,茶颜悦色,长沙市,,黄兴龙区域,贺芸荣大店区,高-已误匹配
C73100375,星沙万象汇内街店,,茶颜悦色,长沙市,,黄兴龙区域,文寄亮大店区,高-已误匹配
Y73100111,鸳央地科家园一楼店,,鸳央咖啡,鸳央,,张娇区域,程慧大店区,高-已误匹配
C73100283,中电软件园D3店,,茶颜悦色,长沙市,,曾思区域,陈建宇大店区,高-已误匹配
G73100119,古德墨柠北辰三角洲站1号口店,,墨柠,古德墨柠,,李曦区域,何海云大店区,高-已误匹配
C73100238,方圆荟G层店,,茶颜悦色,长沙市,,曾思区域,毛振元大店区,高-已误匹配
C73100298,星沙永旺梦乐城店,,茶颜悦色,长沙市,,黄兴龙区域,覃梦婷大店区,高-已误匹配
C73600028,常德欢乐城A馆一楼店新,,茶颜悦色,常德市,,张松滨区域,夏建阳大店区,高-已误匹配
C73600029,澧县欢乐城一楼茶叶子新,,茶颜悦色,常德市,,张松滨区域,夏建阳大店区,高-已误匹配
G73100121,古德墨柠五一广场新大新店,,墨柠,古德墨柠,,李曦区域,周思凡大店区,普通
G73100248,古德墨柠荷花路店,,墨柠,古德墨柠,,李曦区域,童璐大店区,普通
C73100033,中扬大厦店,,茶颜悦色,长沙市,,肖佳文区域,曾军龙大店区,普通
C02500075,南京金蝶广场店,,茶颜悦色,南京市,,胡乐清区域,谭啸大店区,普通
C02500044,南京曙光天地茶叶子,,茶颜悦色,南京市,,周斌区域,郭祥辉大店区,普通
C73100336,树木岭新梁仓美食城茶叶子,,茶颜悦色,长沙市,,张连化区域,陈春花大店区,普通
C73500004,郴州国庆南路茶叶子,,茶颜悦色,郴州市,,吴龙琪区域,汤柳大店区,普通
C73300002,株洲未来云一楼店,,茶颜悦色,株洲市,,张连化区域,刘璐大店区,普通
G73100181,古德墨柠东怡外国店,,墨柠,古德墨柠,,徐乾区域,钟天祥大店区,普通
C51200012,苏州观前街开元里茶叶子,,茶颜悦色,苏州市,,王婵区域,杨姣丽大店区,普通
C73200002,湘潭万达广场茶叶子,,茶颜悦色,湘潭市,,张连化区域,陈樱大店区,普通
G73100142,古德墨柠协信星光PARK店,,墨柠,古德墨柠,,张良东区域,杜强大店区,普通
C02300036,重庆时代天街A馆UG层1号门茶叶子,,茶颜悦色,重庆市,,刘灿区域,黄璐大店区,普通
CY7310002,运达汇店,,茶颜悦色,长沙市,,张连化区域,蒋丽晴大店区,普通
CY7310512,润和一楼茶叶子,,茶颜悦色,长沙市,,曾思区域,毛振元大店区,普通
C73100307,西文庙坪店,,茶颜悦色,长沙市,,肖佳文区域,文昭军大店区,普通
J73100051,昼夜湘腾广场拐角店,,昼夜,昼夜,,李怡区域,祖润新大店区,普通
G73100225,古德墨柠科佳电脑城店,,墨柠,古德墨柠,,徐乾区域,易彪大店区,普通
C73300003,株洲荣时代GF楼茶叶子,,茶颜悦色,株洲市,,张连化区域,黎锦飘大店区,普通
C02500082,南京金茂览秀城茶叶子,,茶颜悦色,南京市,,邹伟明区域,龚煜婷大店区,普通
C02300047,重庆国泰优活城市广场北区游园会店,,茶颜悦色,重庆市,,王毅区域,杨晶钰大店区,普通
C73700001,益阳印象汇游园会店,,茶颜悦色,益阳市,,曹倩区域,李明大店区,普通
CY0270076,武汉大学茶叶子,,茶颜悦色,武汉市,,许浩强区域,袁力波大店区,普通
C73400007,衡阳弘阳广场茶叶子,,茶颜悦色,衡阳市,,吴龙琪区域,郑欣丽大店区,普通
C74400006,张家界天门山索道对面茶叶子,,茶颜悦色,张家界市,,刘箭云区域,肖瑞大店区,普通
C73000003,岳阳新鱼巷子茶叶子,,茶颜悦色,岳阳市,,曾思区域,张邓斌大店区,普通
CY7310168,省展览馆店,,茶颜悦色,长沙市,,张松滨区域,唐鑫大店区,普通
C73100009,北辰荟四楼店,,茶颜悦色,长沙市,,曾思区域,毛振元大店区,普通
C51000019,无锡天安大厦店,,茶颜悦色,无锡市,,石泽钦区域,杨道磊大店区,普通
CY7310459,渔人码头负一楼店,,茶颜悦色,长沙市,,曾思区域,庹月芳大店区,普通
C51200053,苏州文缘商业广场店,,茶颜悦色,苏州市,,曹海龙区域,汪亚萍大店区,普通
C73300004,株洲悦中心游园会店,,茶颜悦色,株洲市,,曾思区域,刘璐大店区,普通
C52700006,宿迁沭阳吾悦广场茶叶子,,茶颜悦色,宿迁市,,胡乐清区域,姚刚大店区,普通
C52700005,宿迁沭阳县万达广场茶叶子,,茶颜悦色,宿迁市,,胡乐清区域,姚刚大店区,普通
